time,shell,k_mean,n_modes,P_J_S,P_J_H,chi_J_shell,vector_mode_energy
2,6,2.04064273742,450,100.272184439,-83.2101544847,-0.829842841767,58431.0338303
2,7,2.35724775845,602,127.787323433,-112.473999749,-0.880165549507,13395.3603088
2,8,2.65706145319,612,78.9072989495,-72.222486903,-0.915282716105,5670.43555894
2,9,2.99963307136,584,32.1586983479,-28.8035429505,-0.895668805959,2172.02503281
2,10,3.35416024321,284,7.5070612596,-6.55707406003,-0.873454183105,201.964695349
2,11,3.64084608427,72,0.471582542707,-0.390444250588,-0.827944665522,26.5882268011
2,12,3.90432219678,32,0.150088129281,-0.130299869967,-0.868155733514,2.03571625265
2.5,1,0.425380791638,18,58.7656719778,-1.71797779934,-0.0292343768312,540.271652897
2.5,2,0.7436010309,62,133.907329839,-74.3260265664,-0.555055699011,5236.69589285
2.5,3,1.04471971847,98,176.584226374,-104.0740484,-0.589373414244,12064.7547452
2.5,4,1.35352659922,210,346.75948506,-227.691046014,-0.656625285894,21800412.1558
2.5,5,1.69919437664,350,528.651654728,-420.843116998,-0.796068854101,2290666.13505
2.5,6,2.04064273742,450,366.688289631,-290.930095512,-0.79339892693,47471.108392
2.5,7,2.35724775845,602,440.344461126,-373.650732899,-0.848541916352,17296.1995798
2.5,8,2.65706145319,612,295.528912557,-266.157456552,-0.900613934011,8589.73950987
2.5,9,2.99963307136,584,101.15376042,-94.241358379,-0.931664408594,4804.20531686
2.5,10,3.35416024321,284,18.8433320374,-17.4280692026,-0.924893175368,833.971216617
2.5,11,3.64084608427,72,1.16517322189,-0.97485575114,-0.836661650664,174.107911859
2.5,12,3.90432219678,32,0.778214154856,-0.727839561816,-0.935268983832,14.7692082561
3,1,0.425380791638,18,104.868357149,0.251018761063,0.00239365589284,3383.41747842
3,2,0.7436010309,62,230.676661606,-115.372529798,-0.500148255116,27687.4062376
3,3,1.04471971847,98,311.911282113,-188.501602334,-0.604343648799,31058.6912046
3,4,1.35352659922,210,591.263376015,-390.660120986,-0.660720986337,6985419.07353
3,5,1.69919437664,350,925.185869109,-689.287636566,-0.745026118082,854539.681686
3,6,2.04064273742,450,632.353806109,-448.780291861,-0.709698095474,70863.126155
3,7,2.35724775845,602,683.686222088,-543.28460013,-0.794640264171,18259.4248617
3,8,2.65706145319,612,414.517059556,-346.881233494,-0.836832225593,13461.7026505
3,9,2.99963307136,584,129.093446517,-105.358849237,-0.816144057505,8217.89175654
3,10,3.35416024321,284,24.6418224826,-19.7322328902,-0.800761912157,1229.20371504
3,11,3.64084608427,72,1.35930814953,-0.762659132372,-0.561064194777,225.547899813
3,12,3.90432219678,32,0.361869460637,-0.17395241961,-0.480704890939,17.399749505
3.5,1,0.425380791638,18,147.376846394,-12.4667244845,-0.084590794209,5472.2822549
3.5,2,0.7436010309,62,578.257679111,-297.952001434,-0.515258183672,55578.7747349
3.5,3,1.04471971847,98,817.418984834,-327.375266308,-0.400498731228,67381.0555806
3.5,4,1.35352659922,210,1939.74949282,-777.260333711,-0.400701398086,25837538.5866
3.5,5,1.69919437664,350,2721.37570343,-868.041408094,-0.318971543327,2914838.74737
3.5,6,2.04064273742,450,2616.63996091,-432.96517232,-0.165466085815,100422.18839
3.5,7,2.35724775845,602,2913.48903988,-783.96701655,-0.26908184854,62695.8639531
3.5,8,2.65706145319,612,1754.89078321,-530.427159417,-0.302256507637,25822.9758678
3.5,9,2.99963307136,584,536.618421779,-76.0147812678,-0.141655183987,12009.8859318
3.5,10,3.35416024321,284,111.579013671,0.0189514164734,0.000169847499543,1538.71553084
3.5,11,3.64084608427,72,13.9808603712,1.86393082444,0.133320180229,339.965548223
3.5,12,3.90432219678,32,5.46788177431,-0.439138102426,-0.0803122892103,45.1820269164
4,1,0.425380791638,18,232.918575245,-32.2258137126,-0.138356563785,17282.1686181
4,2,0.7436010309,62,1373.70413767,-677.475288994,-0.493174090707,263455.520616
4,3,1.04471971847,98,2316.65543331,-559.330587687,-0.24143883447,435979.52937
4,4,1.35352659922,210,5815.61282412,-1418.69418619,-0.243945776498,11429643.5308
4,5,1.69919437664,350,8306.40173789,-811.139864698,-0.0976523758776,2274867.77966
4,6,2.04064273742,450,8614.22639067,634.891055615,0.0737026201567,558655.919456
4,7,2.35724775845,602,9431.23390208,-418.902929843,-0.0444165561147,411525.454257
4,8,2.65706145319,612,5235.06193784,-107.817844284,-0.0205953330761,158102.253931
4,9,2.99963307136,584,1457.66334555,345.668992158,0.237139112548,79352.1319968
4,10,3.35416024321,284,275.252348789,148.119756871,0.538123498391,10456.2229344
4,11,3.64084608427,72,40.3916786493,20.3097780204,0.502820845766,1615.34399265
4,12,3.90432219678,32,9.05341113475,2.57867793157,0.284829429835,180.455286145
4.5,1,0.425380791638,18,724.21660383,72.6542916066,0.100321217744,30243.3882542
4.5,2,0.7436010309,62,1804.80189547,-132.698084404,-0.0735250138738,519166.811409
4.5,3,1.04471971847,98,4904.51000166,161.992344644,0.0330292617589,1056925.48641
4.5,4,1.35352659922,210,12538.3793069,2254.11653399,0.179777344329,24870746.0381
4.5,5,1.69919437664,350,23372.5296641,5644.46024317,0.241499757377,5912681.83649
4.5,6,2.04064273742,450,28882.1878766,11105.3815098,0.384506241607,1470332.91259
4.5,7,2.35724775845,602,31563.7624721,9155.80342176,0.290073258214,1131840.90017
4.5,8,2.65706145319,612,18756.2569116,6256.30440538,0.333558259245,425147.094016
4.5,9,2.99963307136,584,8299.39622211,4960.32612026,0.597673130372,197153.395001
4.5,10,3.35416024321,284,2203.44839312,1675.65245011,0.760468207626,31229.5275269
4.5,11,3.64084608427,72,329.379960681,268.598311744,0.815466463682,5218.91529353
4.5,12,3.90432219678,32,71.8132526729,51.5543878329,0.717895178313,1154.40859419
5,1,0.425380791638,18,1353.64377452,1.73164673403,0.00127924847484,48595.020249
5,2,0.7436010309,62,4590.73585444,-619.434019649,-0.134931313691,539114.943106
5,3,1.04471971847,98,11647.5798559,-778.967240632,-0.0668780339151,1198491.28761
5,4,1.35352659922,210,26215.456829,3109.00314935,0.118594277019,23197950.0007
5,5,1.69919437664,350,46890.6399948,12891.8835368,0.274935115797,6304428.54558
5,6,2.04064273742,450,56109.6247996,20535.4473419,0.365987964012,1957244.45325
5,7,2.35724775845,602,58532.092159,18227.1380219,0.311404177598,1541479.24191
5,8,2.65706145319,612,31855.2775041,10598.0702507,0.332694331396,699074.355943
5,9,2.99963307136,584,12800.6196625,7994.61517289,0.624549075253,382261.171014
5,10,3.35416024321,284,3092.01085897,2254.44247399,0.729118549971,102688.699403
5,11,3.64084608427,72,452.549775884,347.554878664,0.767992599234,21839.1223368
5,12,3.90432219678,32,140.813289281,93.8711387391,0.666635508755,3922.55139079
5.5,1,0.425380791638,18,1438.69769617,-122.141514626,-0.0848972754674,42756.8076188
5.5,2,0.7436010309,62,7024.97213755,996.675930332,0.141876139978,560209.357482
5.5,3,1.04471971847,98,15257.305382,3155.44007825,0.206815030521,1439856.11185
5.5,4,1.35352659922,210,33119.2185088,7072.45100393,0.213545226076,39204293.9884
5.5,5,1.69919437664,350,54366.9934532,15309.8957337,0.281602765966,8956012.24112
5.5,6,2.04064273742,450,55120.3177463,20482.9371633,0.371604119875,2105364.13649
5.5,7,2.35724775845,602,59512.4421928,24461.1015077,0.411024999252,1402778.34023
5.5,8,2.65706145319,612,41886.4185194,14004.2121954,0.33433778037,651632.856494
5.5,9,2.99963307136,584,21495.0884365,10388.3189647,0.483288030911,424468.992473
5.5,10,3.35416024321,284,5724.97525901,2454.60888124,0.428754495905,151669.530857
5.5,11,3.64084608427,72,794.142927827,262.978960945,0.331148149445,39619.5909947
5.5,12,3.90432219678,32,132.709272483,54.3888264223,0.409834410247,4673.88034144
6,1,0.425380791638,18,2054.59427448,-22.2819127963,-0.0108449210985,88633.2424296
6,2,0.7436010309,62,26058.9550284,-1892.60761647,-0.0726279167529,951440.10415
6,3,1.04471971847,98,60692.5369401,9413.53283534,0.155101983043,2192097.47044
6,4,1.35352659922,210,141991.712987,6642.87065656,0.0467835095218,60910556.1267
6,5,1.69919437664,350,230070.304892,744.785645737,0.00323720893092,10306859.3432
6,6,2.04064273742,450,233182.018483,18402.2950076,0.0789181564139,2617867.8819
6,7,2.35724775845,602,239503.77351,3639.27216887,0.015195051483,2033718.246
6,8,2.65706145319,612,149429.394326,-5218.33603869,-0.0349217505849,1086556.51551
6,9,2.99963307136,584,42409.2706903,-266.809054931,-0.00629129080949,830468.191215
6,10,3.35416024321,284,12709.3436237,-2216.51588152,-0.174400499911,294254.070365
6,11,3.64084608427,72,1749.41582393,-273.636243624,-0.156415781703,65451.0861551
6,12,3.90432219678,32,563.337445555,-133.154285421,-0.23636682857,8632.71833723
6.5,1,0.425380791638,18,3932.74650785,-684.774064495,-0.174121078775,182396.234366
6.5,2,0.7436010309,62,30636.1593456,-5537.60004486,-0.180753729029,1841874.91807
6.5,3,1.04471971847,98,64452.6336185,-8709.10679929,-0.13512414172,2062651.5511
6.5,4,1.35352659922,210,124856.620765,-18677.5385002,-0.149591894974,87553164.0074
6.5,5,1.69919437664,350,193522.016373,-18531.0823629,-0.0957569723084,13482635.4924
6.5,6,2.04064273742,450,200838.370702,-26096.6182274,-0.129938408364,5154202.04071
6.5,7,2.35724775845,602,212327.342146,-46229.4460646,-0.217727239448,3622629.31984
6.5,8,2.65706145319,612,163534.920393,-64071.4421453,-0.391790585102,2367066.33885
6.5,9,2.99963307136,584,117280.448548,-44294.9099999,-0.377683668063,1985324.69716
6.5,10,3.35416024321,284,46681.8165948,-27047.8870742,-0.579409479903,555344.861997
6.5,11,3.64084608427,72,6246.31550497,-3279.47388467,-0.525025334064,84972.9046939
6.5,12,3.90432219678,32,1727.61411351,-1358.21524345,-0.786179756711,15825.3306969
7,1,0.425380791638,18,9655.62346524,-90.2885445828,-0.00935087671012,120013.193031
7,2,0.7436010309,62,29424.5956915,-3523.4462259,-0.119744932533,781996.849005
7,3,1.04471971847,98,86198.5444586,-25898.0606291,-0.300446611851,1422781.188
7,4,1.35352659922,210,182766.31059,-60908.3004165,-0.333257810041,104311040.163
7,5,1.69919437664,350,364478.133484,-145359.606583,-0.398815712739,14196189.3834
7,6,2.04064273742,450,483697.439226,-173625.265894,-0.358954279707,5172084.93944
7,7,2.35724775845,602,481047.804522,-223295.688086,-0.464186066305,5280471.73905
7,8,2.65706145319,612,375559.9416,-219661.206064,-0.584889871715,4087686.67013
7,9,2.99963307136,584,216403.089721,-135063.790616,-0.624130601787,3291105.75184
7,10,3.35416024321,284,64060.652563,-48144.3869033,-0.75154381008,840836.950724
7,11,3.64084608427,72,10046.5634615,-7783.09117547,-0.774701837624,214952.138497
7,12,3.90432219678,32,5761.69953329,-4995.84850029,-0.867078970611,36071.3617313
7.5,1,0.425380791638,18,13247.7400867,-540.430245888,-0.0407941461978,131986.265725
7.5,2,0.7436010309,62,38854.1096188,-7137.39843117,-0.183697387514,913114.989231
7.5,3,1.04471971847,98,134949.344444,-27521.6134359,-0.203940327011,1811962.28247
7.5,4,1.35352659922,210,293819.770321,-43335.4981716,-0.14749006891,103678244.141
7.5,5,1.69919437664,350,513550.499685,-173191.598887,-0.33724356026,12681208.5733
7.5,6,2.04064273742,450,621483.194637,-214863.709419,-0.34572730409,4896268.97929
7.5,7,2.35724775845,602,620045.350055,-238033.062841,-0.383896214721,7026122.08079
7.5,8,2.65706145319,612,463225.070982,-248263.459681,-0.535945645504,5590529.40572
7.5,9,2.99963307136,584,228367.499107,-122306.419569,-0.535568415151,4423813.63511
7.5,10,3.35416024321,284,70578.8103749,-43200.9435778,-0.612095094098,1271053.69322
7.5,11,3.64084608427,72,12278.3389559,-6066.91907904,-0.49411562108,405821.468804
7.5,12,3.90432219678,32,5224.4446244,-3956.07374802,-0.757223787871,52668.160939
